,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
5501,2019.12.24 13:11:11,81,17,76.305,11.188,33.2,3
5509,2019.12.24 13:06:11,80,16.7,80.321,11,33.2,3
5517,2019.12.24 13:01:10,75,16.9,75.502,10.75,33.2,3
5525,2019.12.24 12:56:10,70,18.6,78.313,10.75,33.2,3
5533,2019.12.24 12:51:09,63,21,76.707,10.625,33.2,3
5541,2019.12.24 12:46:09,68,19.1,94.378,10.438,33.2,3
5549,2019.12.24 12:41:08,61,21.1,80.723,10.375,33.2,3
5557,2019.12.24 12:36:07,65,19.4,80.723,10.313,33.2,3
5566,2019.12.24 12:31:06,79,16.7,82.329,10.188,33.2,3
5575,2019.12.24 12:26:05,68,18.9,82.329,9.875,33.2,3
5583,2019.12.24 12:21:04,76,18.9,77.51,9.938,33.2,3
5593,2019.12.24 12:16:03,73,18.5,78.313,9.75,33.2,3
